timestamp_ns,event_type,event_order_at_timestamp,row_position,delta,root_delta,subagent_delta,unknown_branch_delta,inflight_after_event,root_inflight,subagent_inflight,unknown_branch_inflight,profiling_inflight
1786167353805170688,end,0,165,-1,-1,0,0,4,2,2,0,4
1786167354066014976,end,0,166,-1,0,-1,0,3,2,1,0,3
1786167355011412736,start,0,171,1,0,1,0,4,2,2,0,4
1786167355433753600,start,0,168,1,1,0,0,5,3,2,0,5
1786167356514119680,end,0,167,-1,-1,0,0,4,2,2,0,4
1786167358389344768,start,0,169,1,1,0,0,5,3,2,0,5
1786167359318615552,end,0,168,-1,-1,0,0,4,2,2,0,4
1786167360338049280,start,0,176,1,1,0,0,5,3,2,0,5
1786167360733437696,start,0,173,1,1,0,0,6,4,2,0,6
1786167361239525888,end,0,169,-1,-1,0,0,5,3,2,0,5
1786167361752643328,end,0,170,-1,-1,0,0,4,2,2,0,4
1786167363122725376,start,0,178,1,1,0,0,5,3,2,0,5
1786167363918814464,end,0,171,-1,0,-1,0,4,3,1,0,4
1786167363922465536,start,0,172,1,1,0,0,5,4,1,0,5
1786167364860618752,start,0,177,1,0,1,0,6,4,2,0,6
1786167367071207424,end,0,172,-1,-1,0,0,5,3,2,0,5
1786167369488499456,start,0,184,1,1,0,0,6,4,2,0,6
1786167371592356608,end,0,173,-1,-1,0,0,5,3,2,0,5
1786167372210017280,end,0,174,-1,0,-1,0,4,3,1,0,4
1786167373002940416,start,0,182,1,1,0,0,5,4,1,0,5
1786167373390086656,start,0,175,1,0,1,0,6,4,2,0,6
1786167375421578496,end,0,175,-1,0,-1,0,5,4,1,0,5
1786167379632206336,end,0,176,-1,-1,0,0,4,3,1,0,4
1786167379656646656,start,0,179,1,0,1,0,5,3,2,0,5
1786167380849196032,end,0,177,-1,0,-1,0,4,3,1,0,4
1786167381811961856,start,0,181,1,0,1,0,5,3,2,0,5
1786167382028119296,end,0,178,-1,-1,0,0,4,2,2,0,4
1786167383912735744,start,0,183,1,1,0,0,5,3,2,0,5
1786167383978217728,start,0,180,1,1,0,0,6,4,2,0,6
1786167385330648320,end,0,179,-1,0,-1,0,5,4,1,0,5
1786167388048030464,start,0,191,1,0,1,0,6,4,2,0,6
1786167392296751104,start,0,185,1,1,0,0,7,5,2,0,7
