concurrency,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_outer_idx_exact_key_normalized,source_inner_idx_exact_key_normalized,source_request_index,source_conversation_path,source_branch_type,source_branch_request_index,conversation_id,session_num,turn_index,benchmark_phase,request_start_ns,request_ack_ns,request_end_ns,raw_record_ordinal,execution_ordinal_all_0_based,execution_ordinal_all_1_based,execution_ordinal_profile_0_based,execution_ordinal_profile_1_based,execution_ordinal_within_root_0_based,execution_ordinal_within_root_1_based,execution_ordinal_within_branch_0_based,execution_ordinal_within_branch_1_based,worker_id,input_sequence_length,usage_prompt_tokens,source_input_tokens,source_output_tokens,logical_prompt_tokens,logical_prompt_metric_status,cache_read_tokens,cache_read_metric_status,output_tokens,ttft_ms,itl_ms,decode_tps,e2e_ms,exact_source_key,error,cancelled,is_profiled_valid
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,8.0,9,8,48,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,8,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,383,8,profiling,1786168169146349568,1786168169320802816,1786168172629415424,469,30,31,30,31,30,31,8,9,worker_52cdd4a9,56670.0,56670.0,56640,219,,not_exported_or_not_mapped,54912.0,profile_counter_scope_unvalidated,219.0,1238.087517,10.297562334862384,97.11036141189466,3482.9561059999996,07dd40536557a1d6440a923557c3129dc929|9|8,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,5.0,10,5,107,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,5,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,384,5,profiling,1786168169266350848,1786168169488715264,1786168173732194048,470,31,32,31,32,31,32,5,6,worker_52cdd4a9,72269.0,72269.0,72256,308,,not_exported_or_not_mapped,66432.0,profile_counter_scope_unvalidated,308.0,1179.590183,10.70405883061889,93.42250596937177,4465.736244,07dd40536557a1d6440a923557c3129dc929|10|5,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,9.0,9,9,49,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,9,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,385,9,profiling,1786168173819090176,1786168174006720512,1786168176993357568,471,32,33,32,33,32,33,9,10,worker_52cdd4a9,60130.0,60130.0,60096,221,,not_exported_or_not_mapped,56640.0,profile_counter_scope_unvalidated,221.0,812.083495,10.736642959090908,93.1389824370831,3174.144946,07dd40536557a1d6440a923557c3129dc929|9|9,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,6.0,10,6,108,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,387,6,profiling,1786168175059875840,1786168175337363456,1786168178282474240,473,33,34,33,34,33,34,6,7,worker_52cdd4a9,72975.0,72975.0,72960,231,,not_exported_or_not_mapped,72256.0,profile_counter_scope_unvalidated,231.0,855.0807189999999,10.293104369565217,97.15242011504448,3222.4947239999997,07dd40536557a1d6440a923557c3129dc929|10|6,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,10.0,9,10,50,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,10,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,388,10,profiling,1786168178177189120,1786168178375340544,1786168181525247488,474,34,35,34,35,34,35,10,11,worker_52cdd4a9,61158.0,61158.0,61120,216,,not_exported_or_not_mapped,46336.0,profile_counter_scope_unvalidated,216.0,989.287619,10.970549897674418,91.15313355550063,3347.9558469999997,07dd40536557a1d6440a923557c3129dc929|9|10,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,7.0,10,7,109,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,7,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,390,7,profiling,1786168179646015488,1786168179954122752,1786168183257610496,476,35,36,35,36,35,36,7,8,worker_52cdd4a9,74322.0,74322.0,74304,240,,not_exported_or_not_mapped,71232.0,profile_counter_scope_unvalidated,240.0,1008.331741,10.891603744769874,91.81384334517293,3611.4250359999996,07dd40536557a1d6440a923557c3129dc929|10|7,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,11.0,9,11,51,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,11,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,391,11,profiling,1786168182688887296,1786168182901733888,1786168185809069568,477,36,37,36,37,36,37,11,12,worker_52cdd4a9,64741.0,64741.0,64704,220,,not_exported_or_not_mapped,60096.0,profile_counter_scope_unvalidated,220.0,836.005496,10.429456360730594,95.88227472385233,3120.056439,07dd40536557a1d6440a923557c3129dc929|9|11,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,8.0,10,8,110,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,8,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,393,8,profiling,1786168184643607040,1786168184925347072,1786168186423430400,478,37,38,37,38,37,38,8,9,worker_52cdd4a9,74902.0,74902.0,74880,84,,not_exported_or_not_mapped,72960.0,profile_counter_scope_unvalidated,84.0,880.408519,10.835250867469878,92.2913564467851,1779.7343409999999,07dd40536557a1d6440a923557c3129dc929|10|8,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,12.0,9,12,52,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,12,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,394,12,profiling,1786168187229602560,1786168187467895552,1786168190196744704,479,38,39,38,39,38,39,12,13,worker_52cdd4a9,65894.0,65894.0,65856,215,,not_exported_or_not_mapped,64704.0,profile_counter_scope_unvalidated,215.0,748.547929,10.366620009345793,96.46345666171544,2967.004611,07dd40536557a1d6440a923557c3129dc929|9|12,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,9.0,10,9,111,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,9,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,395,9,profiling,1786168191326805248,1786168191564905472,1786168193711356928,480,39,40,39,40,39,40,9,10,worker_52cdd4a9,75482.0,75482.0,75456,112,,not_exported_or_not_mapped,74880.0,profile_counter_scope_unvalidated,112.0,740.397705,14.73393745045045,67.87052024368596,2375.8647619999997,07dd40536557a1d6440a923557c3129dc929|10|9,False,False,True
