request_identity_key,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,exact_source_key,session_num,turn_index,request_start_ns,request_ack_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,worker_id,x_request_id,interval_valid,branch_concurrency_group,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end
31235207041|8|9017979109|31|006c98de37d819e95b0840e25426bb7ca99d|16|1786166899444298240|118,006c98de37d819e95b0840e25426bb7ca99d,006c98de37d819e95b0840e25426bb7ca99d,16,,006c98de37d819e95b0840e25426bb7ca99d,root,006c98de37d819e95b0840e25426bb7ca99d|16|-1,31,16,1786166899444298240,1786166899704948224,1786166906210211840,923.81525,10.32144551943463,6765.753414,567.0,worker_4c4f3206,1f0a1e9b-5317-4245-9517-50ca79c333b7,True,root,3,4,4,0,4,3
31235207041|8|9017979109|25|05c249572509162371b7b82339674db64b5d::aux:001|0|1786166886848699136|119,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,20,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|20|-1,25,0,1786166886848699136,1786166886864849664,1786166909249984512,1277.2619869999999,10.264279044703596,22401.148261,2059.0,worker_29a49ec4,ddacd443-c6aa-49cc-9b64-bd8a1358874a,True,root,1,2,2,0,3,2
31235207041|8|9017979109|26|002001296e8a8c38ad9d7cc436d691afc602|94|1786166893667488256|120,002001296e8a8c38ad9d7cc436d691afc602,002001296e8a8c38ad9d7cc436d691afc602,99,,002001296e8a8c38ad9d7cc436d691afc602,root,002001296e8a8c38ad9d7cc436d691afc602|99|-1,26,94,1786166893667488256,1786166896281198848,1786166914696322816,21028.582002,,21028.582002,1.0,worker_764e719b,13d84da7-8d41-4289-967b-65dbf135484c,True,root,6,7,7,0,3,2
31235207041|8|9017979109|33|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|48|1786166903358977536|121,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,403,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|403|-1,33,48,1786166903358977536,1786166903670289408,1786166919531448576,13433.136274999999,10.454412297709922,16172.192297,263.0,worker_52cdd4a9,4f3fa454-e1f8-4204-9223-a865f3b57c3b,True,root,4,5,5,0,2,1
31235207041|8|9017979109|35|063179eb93f4337a662e859c5a2c5638e03f::fa:000|4|1786166921619015424|122,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,6,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|6|-1,35,4,1786166921619015424,1786166921770773248,1786166926282169344,3591.7005329999997,10.301177298076924,4663.022972,105.0,worker_8a32eb3d,eeef0fca-c69a-4f30-a4c6-144728ae9367,True,root,1,2,2,0,4,3
31235207041|8|9017979109|38|063179eb93f4337a662e859c5a2c5638e03f::fa:000|5|1786166926853519360|123,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,7,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|7|-1,38,5,1786166926853519360,1786166927014585088,1786166930206553088,1731.7665419999998,10.953457,3352.878178,149.0,worker_8a32eb3d,55c3f111-c52f-4f23-8fdb-6d3365493e46,True,root,3,4,4,0,4,3
31235207041|8|9017979109|39|063179eb93f4337a662e859c5a2c5638e03f::fa:000|6|1786166931384524544|124,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,8,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|8|-1,39,6,1786166931384524544,1786166931551252224,1786166935933432576,2285.938967,14.69376975974026,4548.779509999999,155.0,worker_8a32eb3d,3a460a23-cf29-474c-83e5-7017111584da,True,root,3,4,4,0,5,4
31235207041|8|9017979109|36|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|49|1786166923008797696|125,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,404,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|404|-1,36,49,1786166923008797696,1786166923341007104,1786166936101359872,5576.799265,11.706268087227413,13092.223377,643.0,worker_52cdd4a9,51947048-bb6b-4bef-892c-c7fbeffa9f42,True,root,2,3,3,0,4,3
31235207041|8|9017979109|40|0196085d85d2075a50b74cd8795ffbdcea9a|93|1786166935088214528|126,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,99,,0196085d85d2075a50b74cd8795ffbdcea9a,root,0196085d85d2075a50b74cd8795ffbdcea9a|99|-1,40,93,1786166935088214528,1786166936757671424,1786166942731114240,7637.706601999999,,7637.706601999999,1.0,worker_775bd273,54c37e99-356f-43fc-88e6-72cdb7ae6bda,True,root,4,5,5,0,5,4
31235207041|8|9017979109|42|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|50|1786166939833271552|127,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,405,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|405|-1,42,50,1786166939833271552,1786166940161194240,1786166942764897792,1002.7920939999999,15.678690252032519,2931.270995,124.0,worker_8a32eb3d,8e19ba4c-5dd1-4bfa-bcc0-c0802ed73aa7,True,root,4,5,5,0,4,3
31235207041|8|9017979109|41|063179eb93f4337a662e859c5a2c5638e03f::fa:000|7|1786166936591287040|128,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,9,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|9|-1,41,7,1786166936591287040,1786166936774687232,1786166944703726592,757.1854109999999,11.730641114832535,8112.29739,628.0,worker_52cdd4a9,ca934f60-2e66-4c5c-95fc-8362d35251a3,True,root,3,4,4,0,3,2
31235207041|8|9017979109|43|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|51|1786166945036399104|129,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,406,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|406|-1,43,51,1786166945036399104,1786166945336288512,1786166949150205952,2509.8888589999997,12.43605775,4101.704251,129.0,worker_52cdd4a9,7650de8d-b104-4533-b92b-7a53be509fee,True,root,2,3,3,0,4,3
31235207041|8|9017979109|44|063179eb93f4337a662e859c5a2c5638e03f::fa:000|8|1786166945268999168|130,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,10,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|10|-1,44,8,1786166945268999168,1786166945448255488,1786166951558075648,2314.8517079999997,10.268449155038759,6288.741531,388.0,worker_8a32eb3d,8c00c613-1f55-4e01-8284-7583f95cf77a,True,root,3,4,4,0,4,3
31235207041|8|9017979109|45|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|52|1786166951513163776|131,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,407,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|407|-1,45,52,1786166951513163776,1786166951841611520,1786166957084886784,968.904354,10.204869600886918,5571.300544,452.0,worker_52cdd4a9,dd91e3e7-75f9-49f2-890f-19736fb11e46,True,root,3,4,4,0,4,3
31235207041|8|9017979109|46|063179eb93f4337a662e859c5a2c5638e03f::fa:000|9|1786166955231246848|132,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,11,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|11|-1,46,9,1786166955231246848,1786166955381411072,1786166958137736448,818.552406,10.761123221649484,2906.210311,195.0,worker_8a32eb3d,55e38a55-1a8b-40e4-93c8-2bab658f0fdd,True,root,3,4,4,0,3,2
31235207041|8|9017979109|47|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|53|1786166959689364480|133,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,408,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|408|-1,47,53,1786166959689364480,1786166960536837120,1786166963681786112,1447.992697,18.844460985185183,3991.99493,136.0,worker_52cdd4a9,4d8e3da4-e7b2-43cc-bf80-3aa2ab32f6cf,True,root,2,3,3,0,3,2
31235207041|8|9017979109|48|0470d446a4514dfe0c6ad0be92853bd13287::fa:009|54|1786166965515096576|134,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,409,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|409|-1,48,54,1786166965515096576,1786166965860805632,1786166968057661952,930.8027199999999,10.46487411038961,2542.393333,155.0,worker_8a32eb3d,51182959-aadd-4c74-87d4-ba56e2efedad,True,root,2,3,3,0,3,2
