component,worker_id,phase_second_bin,timeslice_start_ns,timeslice_end_ns,running_requests,waiting_requests,decode_prealloc_queue_requests,decode_transfer_queue_requests,reconstruction_method,validation_status
decode,694d9fdfb4d8ee18,98,1786166691657379419,1786166692657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,99,1786166692657379419,1786166693657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,100,1786166693657379419,1786166694657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,101,1786166694657379419,1786166695657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,102,1786166695657379419,1786166696657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,103,1786166696657379419,1786166697657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,104,1786166697657379419,1786166698657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,105,1786166698657379419,1786166699657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,106,1786166699657379419,1786166700657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,107,1786166700657379419,1786166701657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,108,1786166701657379419,1786166702657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,109,1786166702657379419,1786166703657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,110,1786166703657379419,1786166704657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,111,1786166704657379419,1786166705657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,112,1786166705657379419,1786166706657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,113,1786166706657379419,1786166707657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,114,1786166707657379419,1786166708657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,115,1786166708657379419,1786166709657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,116,1786166709657379419,1786166710657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,117,1786166710657379419,1786166711657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,118,1786166711657379419,1786166712657379419,0.5,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,119,1786166712657379419,1786166713657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,120,1786166713657379419,1786166714657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,121,1786166714657379419,1786166715657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,122,1786166715657379419,1786166716657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,123,1786166716657379419,1786166717657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,124,1786166717657379419,1786166718657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,125,1786166718657379419,1786166719657379419,0.6666666666666666,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,127,1786166720657379419,1786166721657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,128,1786166721657379419,1786166722657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,129,1786166722657379419,1786166723657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,130,1786166723657379419,1786166724657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,131,1786166724657379419,1786166725657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,132,1786166725657379419,1786166726657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,133,1786166726657379419,1786166727657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,134,1786166727657379419,1786166728657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,135,1786166728657379419,1786166729657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,136,1786166729657379419,1786166730657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,137,1786166730657379419,1786166731657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,138,1786166731657379419,1786166732657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,139,1786166732657379419,1786166733657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,140,1786166733657379419,1786166734657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,141,1786166734657379419,1786166735657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,142,1786166735657379419,1786166736657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,143,1786166736657379419,1786166737657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,144,1786166737657379419,1786166738657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,146,1786166739657379419,1786166740657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,147,1786166740657379419,1786166741657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,148,1786166741657379419,1786166742657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,149,1786166742657379419,1786166743657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,150,1786166743657379419,1786166744657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,151,1786166744657379419,1786166745657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,152,1786166745657379419,1786166746657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,153,1786166746657379419,1786166747657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,154,1786166747657379419,1786166748657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,155,1786166748657379419,1786166749657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,156,1786166749657379419,1786166750657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,157,1786166750657379419,1786166751657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,159,1786166752657379419,1786166753657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,160,1786166753657379419,1786166754657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,161,1786166754657379419,1786166755657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,162,1786166755657379419,1786166756657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,163,1786166756657379419,1786166757657379419,0.5,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,164,1786166757657379419,1786166758657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,165,1786166758657379419,1786166759657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,166,1786166759657379419,1786166760657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,167,1786166760657379419,1786166761657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,168,1786166761657379419,1786166762657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,169,1786166762657379419,1786166763657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,170,1786166763657379419,1786166764657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,171,1786166764657379419,1786166765657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,172,1786166765657379419,1786166766657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,173,1786166766657379419,1786166767657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,174,1786166767657379419,1786166768657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,175,1786166768657379419,1786166769657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,176,1786166769657379419,1786166770657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,177,1786166770657379419,1786166771657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,178,1786166771657379419,1786166772657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
