root_trace_id,concurrency,baseline_concurrency,baseline_available_at_conc1,profiled_request_count,baseline_profiled_request_count,total_input_tokens,baseline_total_input_tokens,total_output_tokens,baseline_total_output_tokens,median_ttft_ms,baseline_median_ttft_ms,median_itl_ms,baseline_median_itl_ms,median_e2e_ms,baseline_median_e2e_ms,wall_clock_output_rate,baseline_wall_clock_output_rate,ttft_ratio,itl_ratio,e2e_ratio,wall_clock_output_rate_ratio,request_coverage_ratio,input_token_coverage_ratio,output_token_coverage_ratio,coverage_comparable
04dba6fe621301a1d01fd63b8d02c9645c48,3,3,False,25.0,25.0,688586.0,688586.0,41795.0,41795.0,52355.610464,52355.610464,31.00703912898936,31.00703912898936,95170.593526,95170.593526,60.7636244689422,60.7636244689422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
04dba6fe621301a1d01fd63b8d02c9645c48,4,3,False,25.0,25.0,688561.0,688586.0,41795.0,41795.0,2002.341232,52355.610464,38.63865188314059,31.00703912898936,65843.084915,95170.593526,76.01210437173893,60.7636244689422,0.03824501737739876,1.2461251692689426,0.691842747592113,1.2509475041369629,1.0,0.9999636937143653,1.0,True
04dba6fe621301a1d01fd63b8d02c9645c48,6,3,False,25.0,25.0,688561.0,688586.0,41795.0,41795.0,103299.104864,52355.610464,32.21123617881041,31.00703912898936,139941.73655899998,95170.593526,31.41128422945851,60.7636244689422,1.9730283717163228,1.0388362476278883,1.47043042786918,0.5169422414147399,1.0,0.9999636937143653,1.0,True
04dba6fe621301a1d01fd63b8d02c9645c48,7,3,False,25.0,25.0,688561.0,688586.0,41795.0,41795.0,165574.283268,52355.610464,32.04344728142076,31.00703912898936,205406.68083199998,95170.593526,18.500557769142436,60.7636244689422,3.162493604803821,1.0334249312912447,2.1582998825775337,0.30446764706405116,1.0,0.9999636937143653,1.0,True
04dba6fe621301a1d01fd63b8d02c9645c48,8,3,False,3.0,25.0,228177.0,688586.0,724.0,41795.0,188649.396659,52355.610464,31.471704529411763,31.00703912898936,189184.415636,95170.593526,1.3383045261086823,60.7636244689422,3.6032317260194366,1.0149858036586272,1.9878452852594222,0.022024764615427492,0.12,0.3313703734900216,0.01732264624955138,False
05c249572509162371b7b82339674db64b5d,3,3,False,21.0,21.0,1403225.0,1403225.0,17870.0,17870.0,1269.670908,1269.670908,31.15956198523985,31.15956198523985,19132.802042,19132.802042,30.50294738260735,30.50294738260735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
05c249572509162371b7b82339674db64b5d,4,3,False,21.0,21.0,1403183.0,1403225.0,17870.0,17870.0,1078.0483179999999,1269.670908,33.91080736162361,31.15956198523985,20397.09909,19132.802042,31.70658668573668,30.50294738260735,0.8490769625478415,1.0882953803293838,1.0660800778278392,1.0394597704946913,1.0,0.9999700689483155,1.0,True
05c249572509162371b7b82339674db64b5d,6,3,False,2.0,21.0,65107.0,1403225.0,129.0,17870.0,110397.74135299999,1269.670908,30.412750935529278,31.15956198523985,112446.4708645,19132.802042,0.5736006034548233,30.50294738260735,86.9498865079139,0.9760326846037074,5.877156446696069,0.018804759955160528,0.09523809523809523,0.0463981186196084,0.0072188024622271965,False
05c249572509162371b7b82339674db64b5d,7,3,False,4.0,21.0,198611.0,1403225.0,795.0,17870.0,169818.660438,1269.670908,32.392139416984065,31.15956198523985,175744.536303,19132.802042,1.136935356296075,30.50294738260735,133.75013900688666,1.039556956298939,9.18550957236732,0.03727296716724334,0.19047619047619047,0.14153895490744534,0.04448796866256295,False
05c249572509162371b7b82339674db64b5d,8,3,False,12.0,21.0,815530.0,1403225.0,7946.0,17870.0,219904.64646949997,1269.670908,30.541673580889054,31.15956198523985,237175.45262549998,19132.802042,2.712593179851186,30.50294738260735,173.19814534925138,0.9801701832444407,12.396273797473913,0.08892888761949264,0.5714285714285714,0.5811826328635821,0.4446558477895915,False
